Image ID,Left SS_X ,Left SS_Y,Right SS_X,Right SS_Y
0,65,181,449,213
1,64,181,449,211
2,66,182,446,205
3,66,185,444,206
4,72,183,441,204
5,67,191,440,206
6,70,191,439,205
7,66,199,437,203
8,67,200,434,199
9,64,205,434,196
10,65,204,431,194
11,64,206,430,194
12,60,209,431,191
13,54,212,429,189
14,51,211,429,186
15,48,212,428,185
16,40,128,431,110
17,40,128,431,108
18,44,124,434,114
19,43,125,431,111
20,66,191,411,176
21,65,191,416,177
22,43,129,440,117
23,45,124,442,118
24,44,129,451,126
25,44,126,451,124
26,50,121,451,125
27,59,114,451,125
28,58,114,446,118
29,58,114,446,118
30,58,114,446,118
31,58,114,446,118
32,58,114,446,118
33,58,114,446,118
34,58,114,446,118
35,58,114,446,118
36,58,114,446,118
37,58,114,446,118
38,58,114,446,118
39,58,114,446,118
40,58,114,446,118
41,58,114,446,118
42,58,114,446,118
43,58,114,446,118
44,58,114,446,118
45,58,114,446,118
46,58,114,446,118
47,58,114,446,118
48,58,114,446,118
49,58,114,446,118
50,58,114,446,118
51,58,114,446,118
52,58,114,446,118
53,58,114,446,118
54,58,114,446,118
55,58,114,446,118
